"BehaviorSpace results (NetLogo 5.2.0)"
"priority_queue_them_park.nlogo"
"wait-time-normal-q"
"12/19/2015 22:56:20:254 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-persons","[step]","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)"
"1","1","219","0"
"1","1","220","0"
"2","50","198","34.354838709677416"
"1","1","221","0"
"1","1","222","0"
"2","50","199","29"
"2","50","200","32.705882352941174"
"1","1","223","0.5"
"1","1","224","0"
"2","50","201","32.74285714285714"
"1","1","225","0"
"1","1","226","0"
"1","1","227","0"
"3","300","27","12.08713692946058"
"1","1","228","0"
"1","1","229","0"
"1","1","230","0"
"1","1","231","0"
"1","1","232","0.5"
"1","1","233","0"
"3","300","28","12.648"
"3","300","29","12.995726495726496"
"1","1","234","0"
"1","1","235","0"
"1","1","236","0"
"1","1","237","0"
"1","1","238","0"
"1","1","239","0"
"1","1","240","0"
"1","1","241","0"
"2","50","202","28.926829268292682"
"3","300","30","13.561983471074381"
"1","1","242","0"
"1","1","243","0"
"2","50","203","40.785714285714285"
"1","1","244","0"
"2","50","204","39.03333333333333"
"3","300","31","13.766536964980546"
"2","50","205","34.42857142857143"
"2","50","206","41.67857142857143"
"2","50","207","38.61290322580645"
"3","300","32","14.415254237288135"
"1","1","245","0"
"2","50","208","37.24242424242424"
"1","1","246","0"
"1","1","247","0"
"1","1","248","0"
"1","1","249","0.5"
"1","1","250","1"
"1","1","251","0"
"1","1","252","0"
"3","300","33","14.938524590163935"
"1","1","253","0.5"
"1","1","254","0"
"1","1","255","0"
"2","50","209","39.96153846153846"
"1","1","256","0"
"3","300","34","15.178988326848248"
"1","1","257","0"
"2","50","210","33.4375"
"1","1","258","0"
"1","1","259","0"
"2","50","211","32.44117647058823"
"1","1","260","0"
"3","300","35","15.495798319327731"
"1","1","261","0"
"1","1","262","0"
"1","1","263","0"
"1","1","264","0"
"1","1","265","0"
"1","1","266","0"
"3","300","36","15.987804878048781"
"1","1","267","0"
"2","50","212","36.56666666666667"
"2","50","213","37.53333333333333"
"3","300","37","16.24031007751938"
"2","50","214","34.088235294117645"
"1","1","268","0.5"
"1","1","269","0"
"1","1","270","0"
"1","1","271","0"
"2","50","215","43.92307692307692"
"3","300","38","16.551867219917014"
"1","1","272","0"
"1","1","273","0"
"2","50","216","43.25925925925926"
"1","1","274","0"
"1","1","275","0"
"2","50","217","35.3235294117647"
"1","1","276","0"
"1","1","277","0"
"2","50","218","41.607142857142854"
"3","300","39","16.952"
"1","1","278","0"
"1","1","279","0"
"1","1","280","0"
"1","1","281","0"
"2","50","219","41.13793103448276"
"1","1","282","0"
"1","1","283","0"
"1","1","284","0"
"1","1","285","0"
"3","300","40","17.35907335907336"
"1","1","286","0"
"2","50","220","33.21621621621622"
"1","1","287","0"
"2","50","221","37.607142857142854"
"1","1","288","0"
"1","1","289","0"
"2","50","222","37.275862068965516"
"3","300","41","17.86008230452675"
"1","1","290","0"
"1","1","291","0"
"2","50","223","30.18918918918919"
"1","1","292","0"
"1","1","293","0"
"2","50","224","41.69230769230769"
"1","1","294","0"
"3","300","42","18.150197628458496"
"1","1","295","0.5"
"2","50","225","37.1"
"1","1","296","0"
"1","1","297","0"
"1","1","298","0"
"1","1","299","0"
"1","1","300","0"
"2","50","226","32.77142857142857"
